member_casual,length_bucket,rides
casual,0,277441
member,0,833903
member,5,1214959
casual,5,553195
casual,10,383431
member,10,687494
casual,15,239800
member,15,365295
casual,20,156569
member,20,205841
casual,25,105354
member,25,120886
casual,30,72632
member,30,74686
casual,35,53122
member,35,48817
casual,40,39935
member,40,31318
casual,45,31999
member,45,17050
member,50,9915
casual,50,25014
member,55,6517
casual,55,20108
member,60,4295
casual,60,16660
member,65,3061
casual,65,13822
casual,70,11489
member,70,2264
casual,75,9888
member,75,1749
member,80,1382
casual,80,8085
casual,85,7077
member,85,1047
casual,90,6177
member,90,910
member,95,756
casual,95,5253
casual,100,4543
member,100,696
member,105,586
casual,105,3895
member,110,487
casual,110,3510
casual,115,3007
member,115,436
member,120,360
casual,120,2640
member,125,340
casual,125,2231
member,130,296
casual,130,2065
member,135,253
casual,135,1741
casual,140,1633
member,140,247
member,145,208
casual,145,1439
casual,150,1361
member,150,208
member,155,179
casual,155,1240
casual,160,1126
member,160,160
casual,165,1048
member,165,182
member,170,148
casual,170,956
member,175,129
casual,175,851
member,180,147
casual,180,629
member,185,113
casual,185,525
casual,190,452
member,190,121
member,195,145
casual,195,358
casual,200,348
member,200,118
member,205,109
casual,205,313
casual,210,259
member,210,99
casual,215,270
member,215,100
member,220,98
casual,220,224
casual,225,204
member,225,99
casual,230,185
member,230,76
casual,235,193
member,235,73
casual,240,169
member,240,65
casual,245,157
member,245,68
casual,250,133
member,250,66
member,255,57
casual,255,139
member,260,56
casual,260,128
casual,265,105
member,265,50
casual,270,101
member,270,58
casual,275,125
member,275,54
member,280,47
casual,280,73
member,285,45
casual,285,89
member,290,45
casual,290,96
casual,295,93
member,295,45
casual,300,73
member,300,39
member,305,46
casual,305,83
member,310,40
casual,310,74
member,315,34
casual,315,72
casual,320,63
member,320,34
member,325,39
casual,325,59
member,330,30
casual,330,56
member,335,29
casual,335,43
member,340,31
casual,340,45
casual,345,36
member,345,16
casual,350,45
member,350,27
casual,355,48
member,355,30
casual,360,50
member,360,30
casual,365,48
member,365,29
member,370,24
casual,370,38
member,375,21
casual,375,43
casual,380,40
member,380,21
casual,385,30
member,385,19
casual,390,26
member,390,25
casual,395,41
member,395,17
member,400,24
casual,400,30
casual,405,43
member,405,23
casual,410,28
member,410,31
member,415,14
casual,415,32
casual,420,26
member,420,26
member,425,21
casual,425,32
member,430,20
casual,430,40
member,435,22
casual,435,33
member,440,15
casual,440,18
casual,445,33
member,445,20
casual,450,25
member,450,11
member,455,13
casual,455,29
casual,460,30
member,460,23
member,465,16
casual,465,33
member,470,48
casual,470,33
member,475,278
casual,475,82
member,480,18
casual,480,27
member,485,7
casual,485,26
member,490,8
casual,490,13
casual,495,18
member,495,3
member,500,6
casual,500,23
casual,505,16
member,505,10
casual,510,29
member,510,9
casual,515,20
member,515,14
member,520,9
casual,520,19
casual,525,18
member,525,8
casual,530,19
member,530,6
member,535,3
casual,535,21
casual,540,25
member,540,10
casual,545,15
member,545,5
member,550,7
casual,550,27
member,555,10
casual,555,18
casual,560,11
member,560,7
casual,565,26
member,565,5
casual,570,22
member,570,8
casual,575,17
member,575,8
casual,580,32
member,580,6
member,585,10
casual,585,21
member,590,12
casual,590,19
member,595,9
casual,595,22
casual,600,20
member,600,7
member,605,8
casual,605,18
member,610,8
casual,610,18
casual,615,14
member,615,12
member,620,5
casual,620,21
member,625,7
casual,625,21
casual,630,22
member,630,5
casual,635,10
member,635,5
member,640,3
casual,640,16
member,645,11
casual,645,11
member,650,7
casual,650,22
casual,655,18
member,655,4
casual,660,15
member,660,7
member,665,6
casual,665,18
member,670,2
casual,670,23
casual,675,14
member,675,8
casual,680,15
member,680,1
member,685,5
casual,685,19
member,690,3
casual,690,14
member,695,7
casual,695,20
member,700,4
casual,700,11
casual,705,15
member,705,9
casual,710,10
member,710,10
member,715,5
casual,715,15
casual,720,15
member,720,5
member,725,1
casual,725,16
member,730,9
casual,730,16
casual,735,13
member,735,9
member,740,4
casual,740,18
member,745,10
casual,745,17
casual,750,15
member,750,6
casual,755,12
member,755,3
casual,760,16
member,760,2
member,765,4
casual,765,12
casual,770,9
member,770,7
member,775,9
casual,775,19
casual,780,11
member,780,7
casual,785,14
member,785,6
member,790,9
casual,790,13
casual,795,19
member,795,5
casual,800,11
member,800,7
casual,805,10
member,805,6
casual,810,14
member,810,16
casual,815,16
member,815,1
casual,820,15
member,820,5
casual,825,15
member,825,10
casual,830,12
member,830,4
member,835,4
casual,835,15
casual,840,16
member,840,3
casual,845,11
member,845,7
member,850,6
casual,850,15
casual,855,11
member,855,8
member,860,9
casual,860,19
member,865,3
casual,865,15
member,870,5
casual,870,14
casual,875,21
member,875,4
casual,880,12
member,880,7
member,885,7
casual,885,16
member,890,4
casual,890,16
member,895,5
casual,895,12
casual,900,15
member,900,4
member,905,5
casual,905,19
member,910,5
casual,910,15
member,915,5
casual,915,13
casual,920,15
member,920,5
member,925,5
casual,925,18
member,930,10
casual,930,20
casual,935,19
member,935,8
member,940,3
casual,940,19
casual,945,12
member,945,4
casual,950,13
member,950,4
member,955,5
casual,955,10
member,960,2
casual,960,10
casual,965,16
member,965,5
member,970,5
casual,970,12
casual,975,14
member,975,7
casual,980,14
member,980,8
casual,985,11
member,985,5
member,990,5
casual,990,6
member,995,4
casual,995,19
casual,1000,11
member,1000,5
member,1005,3
casual,1005,15
casual,1010,23
member,1010,6
member,1015,6
casual,1015,12
member,1020,4
casual,1020,15
casual,1025,7
member,1025,6
casual,1030,8
member,1030,7
member,1035,2
casual,1035,12
member,1040,3
casual,1040,17
member,1045,4
casual,1045,16
casual,1050,20
member,1050,4
casual,1055,13
member,1055,6
casual,1060,10
member,1060,2
casual,1065,14
member,1065,8
member,1070,7
casual,1070,10
member,1075,4
casual,1075,12
casual,1080,10
member,1080,4
member,1085,6
casual,1085,11
casual,1090,13
member,1090,7
member,1095,5
casual,1095,13
casual,1100,12
member,1100,5
casual,1105,6
member,1105,6
member,1110,3
casual,1110,10
member,1115,5
casual,1115,15
member,1120,8
casual,1120,11
member,1125,8
casual,1125,14
member,1130,5
casual,1130,18
casual,1135,13
member,1135,6
member,1140,2
casual,1140,12
casual,1145,17
member,1145,1
casual,1150,12
member,1150,8
member,1155,3
casual,1155,13
casual,1160,10
member,1160,4
member,1165,3
casual,1165,17
casual,1170,15
member,1170,4
member,1175,3
casual,1175,7
casual,1180,14
member,1180,5
member,1185,1
casual,1185,10
member,1190,3
casual,1190,21
member,1195,8
casual,1195,6
member,1200,4
casual,1200,11
casual,1205,6
member,1205,3
member,1210,3
casual,1210,12
member,1215,4
casual,1215,8
member,1220,1
casual,1220,7
casual,1225,12
member,1225,9
casual,1230,9
member,1230,4
member,1235,1
casual,1235,13
casual,1240,11
member,1240,4
casual,1245,15
member,1245,2
casual,1250,11
member,1250,1
casual,1255,14
member,1255,2
member,1260,2
casual,1260,18
casual,1265,20
member,1265,3
casual,1270,16
member,1270,5
member,1275,7
casual,1275,20
casual,1280,12
member,1280,3
casual,1285,21
member,1285,2
member,1290,6
casual,1290,8
member,1295,1
casual,1295,16
casual,1300,9
member,1300,4
member,1305,1
casual,1305,10
member,1310,3
casual,1310,22
member,1315,3
casual,1315,12
member,1320,1
casual,1320,12
casual,1325,14
member,1325,4
member,1330,4
casual,1330,10
member,1335,6
casual,1335,10
casual,1340,11
member,1340,4
member,1345,3
casual,1345,16
member,1350,6
casual,1350,10
casual,1355,4
member,1355,3
member,1360,2
casual,1360,7
casual,1365,13
member,1365,2
member,1370,4
casual,1370,8
member,1375,2
casual,1375,12
casual,1380,8
member,1380,2
casual,1385,16
member,1385,3
casual,1390,18
member,1390,1
member,1395,7
casual,1395,6
casual,1400,9
member,1400,2
casual,1405,3
member,1405,2
casual,1410,5
member,1415,5
casual,1415,8
member,1420,3
casual,1420,9
member,1425,6
casual,1425,12
casual,1430,8
casual,1435,22
member,1435,7
