rides_in_thousands,length_bucket,rideable_type
611.125,0,electric_bike
463.384,0,classic_bike
36.835,0,electric_scooter
49.653,5,electric_scooter
956.488,5,electric_bike
762.013,5,classic_bike
486.482,10,classic_bike
24.015,10,electric_scooter
560.428,10,electric_bike
299.146,15,electric_bike
294.388,15,classic_bike
11.561,15,electric_scooter
166.201,20,electric_bike
6.165,20,electric_scooter
190.044,20,classic_bike
3.28,25,electric_scooter
130.982,25,classic_bike
91.978,25,electric_bike
1.865,30,electric_scooter
92.222,30,classic_bike
53.231,30,electric_bike
67.578,35,classic_bike
1.141,35,electric_scooter
33.22,35,electric_bike
0.77,40,electric_scooter
48.344,40,classic_bike
22.139,40,electric_bike
15.855,45,electric_bike
0.544,45,electric_scooter
32.65,45,classic_bike
23.167,50,classic_bike
0.395,50,electric_scooter
11.367,50,electric_bike
17.718,55,classic_bike
8.615,55,electric_bike
0.292,55,electric_scooter
0.202,60,electric_scooter
14.105,60,classic_bike
6.648,60,electric_bike
11.418,65,classic_bike
5.294,65,electric_bike
0.171,65,electric_scooter
0.123,70,electric_scooter
9.388,70,classic_bike
4.242,70,electric_bike
0.096,75,electric_scooter
8.127,75,classic_bike
3.414,75,electric_bike
2.771,80,electric_bike
0.079,80,electric_scooter
6.617,80,classic_bike
0.059,85,electric_scooter
5.692,85,classic_bike
2.373,85,electric_bike
0.038,90,electric_scooter
2.003,90,electric_bike
5.046,90,classic_bike
0.045,95,electric_scooter
1.601,95,electric_bike
4.363,95,classic_bike
1.318,100,electric_bike
3.878,100,classic_bike
0.043,100,electric_scooter
0.029,105,electric_scooter
1.158,105,electric_bike
3.294,105,classic_bike
0.963,110,electric_bike
3.01,110,classic_bike
0.024,110,electric_scooter
0.013,115,electric_scooter
0.796,115,electric_bike
2.634,115,classic_bike
0.011,120,electric_scooter
2.327,120,classic_bike
0.662,120,electric_bike
0.563,125,electric_bike
2.002,125,classic_bike
0.006,125,electric_scooter
1.867,130,classic_bike
0.48,130,electric_bike
0.014,130,electric_scooter
0.014,135,electric_scooter
1.602,135,classic_bike
0.378,135,electric_bike
1.495,140,classic_bike
0.009,140,electric_scooter
0.376,140,electric_bike
0.287,145,electric_bike
0.009,145,electric_scooter
1.351,145,classic_bike
0.012,150,electric_scooter
1.281,150,classic_bike
0.276,150,electric_bike
1.174,155,classic_bike
0.005,155,electric_scooter
0.24,155,electric_bike
1.071,160,classic_bike
0.208,160,electric_bike
0.007,160,electric_scooter
0.003,165,electric_scooter
0.189,165,electric_bike
1.038,165,classic_bike
0.171,170,electric_bike
0.929,170,classic_bike
0.004,170,electric_scooter
0.84,175,classic_bike
0.004,175,electric_scooter
0.136,175,electric_bike
0.002,180,electric_scooter
0.136,180,electric_bike
0.638,180,classic_bike
0.004,185,electric_scooter
0.12,185,electric_bike
0.514,185,classic_bike
0.446,190,classic_bike
0.125,190,electric_bike
0.002,190,electric_scooter
0.121,195,electric_bike
0.382,195,classic_bike
0.362,200,classic_bike
0.002,200,electric_scooter
0.102,200,electric_bike
0.004,205,electric_scooter
0.323,205,classic_bike
0.095,205,electric_bike
0.274,210,classic_bike
0.084,210,electric_bike
0.094,215,electric_bike
0.002,215,electric_scooter
0.274,215,classic_bike
0.001,220,electric_scooter
0.079,220,electric_bike
0.242,220,classic_bike
0.224,225,classic_bike
0.003,225,electric_scooter
0.076,225,electric_bike
0.073,230,electric_bike
0.184,230,classic_bike
0.004,230,electric_scooter
0.054,235,electric_bike
0.212,235,classic_bike
0.057,240,electric_bike
0.001,240,electric_scooter
0.176,240,classic_bike
0.055,245,electric_bike
0.168,245,classic_bike
0.002,245,electric_scooter
0.001,250,electric_scooter
0.141,250,classic_bike
0.057,250,electric_bike
0.047,255,electric_bike
0.148,255,classic_bike
0.001,255,electric_scooter
0.045,260,electric_bike
0.139,260,classic_bike
0.118,265,classic_bike
0.037,265,electric_bike
0.045,270,electric_bike
0.114,270,classic_bike
0.044,275,electric_bike
0.133,275,classic_bike
0.002,275,electric_scooter
0.045,280,electric_bike
0.075,280,classic_bike
0.038,285,electric_bike
0.095,285,classic_bike
0.001,285,electric_scooter
0.098,290,classic_bike
0.043,290,electric_bike
0.099,295,classic_bike
0.039,295,electric_bike
0.031,300,electric_bike
0.081,300,classic_bike
0.035,305,electric_bike
0.093,305,classic_bike
0.001,305,electric_scooter
0.022,310,electric_bike
0.091,310,classic_bike
0.001,310,electric_scooter
0.03,315,electric_bike
0.076,315,classic_bike
0.074,320,classic_bike
0.023,320,electric_bike
0.065,325,classic_bike
0.002,325,electric_scooter
0.031,325,electric_bike
0.019,330,electric_bike
0.066,330,classic_bike
0.001,330,electric_scooter
0.051,335,classic_bike
0.021,335,electric_bike
0.001,340,electric_scooter
0.053,340,classic_bike
0.022,340,electric_bike
0.013,345,electric_bike
0.039,345,classic_bike
0.021,350,electric_bike
0.051,350,classic_bike
0.023,355,electric_bike
0.055,355,classic_bike
0.061,360,classic_bike
0.019,360,electric_bike
0.056,365,classic_bike
0.021,365,electric_bike
0.042,370,classic_bike
0.02,370,electric_bike
0.047,375,classic_bike
0.001,375,electric_scooter
0.016,375,electric_bike
0.023,380,electric_bike
0.038,380,classic_bike
0.037,385,classic_bike
0.001,385,electric_scooter
0.011,385,electric_bike
0.013,390,electric_bike
0.038,390,classic_bike
0.014,395,electric_bike
0.044,395,classic_bike
0.04,400,classic_bike
0.014,400,electric_bike
0.019,405,electric_bike
0.047,405,classic_bike
0.023,410,electric_bike
0.001,410,electric_scooter
0.035,410,classic_bike
0.034,415,classic_bike
0.012,415,electric_bike
0.032,420,classic_bike
0.02,420,electric_bike
0.04,425,classic_bike
0.013,425,electric_bike
0.018,430,electric_bike
0.042,430,classic_bike
0.015,435,electric_bike
0.04,435,classic_bike
0.021,440,classic_bike
0.012,440,electric_bike
0.041,445,classic_bike
0.012,445,electric_bike
0.025,450,classic_bike
0.011,450,electric_bike
0.032,455,classic_bike
0.01,455,electric_bike
0.017,460,electric_bike
0.036,460,classic_bike
0.012,465,electric_bike
0.037,465,classic_bike
0.044,470,electric_bike
0.037,470,classic_bike
0.007,475,electric_scooter
0.324,475,electric_bike
0.029,475,classic_bike
0.012,480,electric_bike
0.033,480,classic_bike
0.033,485,classic_bike
0.021,490,classic_bike
0.021,495,classic_bike
0.029,500,classic_bike
0.026,505,classic_bike
0.038,510,classic_bike
0.034,515,classic_bike
0.028,520,classic_bike
0.026,525,classic_bike
0.025,530,classic_bike
0.024,535,classic_bike
0.035,540,classic_bike
0.02,545,classic_bike
0.034,550,classic_bike
0.028,555,classic_bike
0.018,560,classic_bike
0.031,565,classic_bike
0.03,570,classic_bike
0.025,575,classic_bike
0.038,580,classic_bike
0.031,585,classic_bike
0.031,590,classic_bike
0.031,595,classic_bike
0.027,600,classic_bike
0.026,605,classic_bike
0.026,610,classic_bike
0.026,615,classic_bike
0.026,620,classic_bike
0.028,625,classic_bike
0.027,630,classic_bike
0.015,635,classic_bike
0.019,640,classic_bike
0.022,645,classic_bike
0.029,650,classic_bike
0.022,655,classic_bike
0.022,660,classic_bike
0.024,665,classic_bike
0.025,670,classic_bike
0.022,675,classic_bike
0.016,680,classic_bike
0.024,685,classic_bike
0.017,690,classic_bike
0.027,695,classic_bike
0.015,700,classic_bike
0.024,705,classic_bike
0.02,710,classic_bike
0.02,715,classic_bike
0.02,720,classic_bike
0.017,725,classic_bike
0.025,730,classic_bike
0.022,735,classic_bike
0.022,740,classic_bike
0.027,745,classic_bike
0.021,750,classic_bike
0.015,755,classic_bike
0.018,760,classic_bike
0.016,765,classic_bike
0.016,770,classic_bike
0.028,775,classic_bike
0.018,780,classic_bike
0.02,785,classic_bike
0.022,790,classic_bike
0.024,795,classic_bike
0.018,800,classic_bike
0.016,805,classic_bike
0.03,810,classic_bike
0.017,815,classic_bike
0.02,820,classic_bike
0.025,825,classic_bike
0.016,830,classic_bike
0.019,835,classic_bike
0.019,840,classic_bike
0.018,845,classic_bike
0.021,850,classic_bike
0.019,855,classic_bike
0.028,860,classic_bike
0.018,865,classic_bike
0.019,870,classic_bike
0.025,875,classic_bike
0.019,880,classic_bike
0.023,885,classic_bike
0.02,890,classic_bike
0.017,895,classic_bike
0.019,900,classic_bike
0.024,905,classic_bike
0.02,910,classic_bike
0.018,915,classic_bike
0.02,920,classic_bike
0.023,925,classic_bike
0.03,930,classic_bike
0.027,935,classic_bike
0.022,940,classic_bike
0.016,945,classic_bike
0.017,950,classic_bike
0.015,955,classic_bike
0.012,960,classic_bike
0.021,965,classic_bike
0.017,970,classic_bike
0.021,975,classic_bike
0.022,980,classic_bike
