rides_in_thousands,member_casual,Hour
33.71,casual,0
22.572,casual,1
14.001,casual,2
7.789,casual,3
6.14,casual,4
11.762,casual,5
28.025,casual,6
52.157,casual,7
73.839,casual,8
74.464,casual,9
91.761,casual,10
116.615,casual,11
137.916,casual,12
143.821,casual,13
149.635,casual,14
164.586,casual,15
185.429,casual,16
197.673,casual,17
168.196,casual,18
123.755,casual,19
90.377,casual,20
74.804,casual,21
65.306,casual,22
45.726,casual,23
31.76,member,0
19.474,member,1
11.024,member,2
7.593,member,3
8.536,member,4
34.06,member,5
102.427,member,6
197.417,member,7
251.355,member,8
170.771,member,9
150.423,member,10
175.609,member,11
200.972,member,12
200.793,member,13
201.304,member,14
246.877,member,15
337.3,member,16
386.746,member,17
301.135,member,18
210.913,member,19
147.783,member,20
113.387,member,21
82.014,member,22
51.542,member,23
