rides_in_thousands,hour,rideable_type
24359,0,classic_bike
18,0,electric_scooter
41093,0,electric_bike
26772,1,electric_bike
15274,1,classic_bike
8467,2,classic_bike
16558,2,electric_bike
10602,3,electric_bike
4780,3,classic_bike
9673,4,electric_bike
5003,4,classic_bike
20281,5,classic_bike
1038,5,electric_scooter
24503,5,electric_bike
2654,6,electric_scooter
70707,6,electric_bike
57091,6,classic_bike
126808,7,electric_bike
5813,7,electric_scooter
116953,7,classic_bike
162682,8,electric_bike
154700,8,classic_bike
7812,8,electric_scooter
120541,9,classic_bike
5815,9,electric_scooter
118879,9,electric_bike
123158,10,classic_bike
5047,10,electric_scooter
113979,10,electric_bike
137396,11,electric_bike
6549,11,electric_scooter
148279,11,classic_bike
169705,12,classic_bike
161669,12,electric_bike
7514,12,electric_scooter
166407,13,electric_bike
7712,13,electric_scooter
170495,13,classic_bike
169880,14,classic_bike
8041,14,electric_scooter
173018,14,electric_bike
209078,15,electric_bike
192517,15,classic_bike
9868,15,electric_scooter
266514,16,electric_bike
243797,16,classic_bike
12418,16,electric_scooter
13968,17,electric_scooter
282805,17,electric_bike
287646,17,classic_bike
12154,18,electric_scooter
228327,18,classic_bike
228850,18,electric_bike
8892,19,electric_scooter
164519,19,electric_bike
161257,19,classic_bike
119890,20,electric_bike
6557,20,electric_scooter
111713,20,classic_bike
100444,21,electric_bike
81655,21,classic_bike
6092,21,electric_scooter
81019,22,electric_bike
5533,22,electric_scooter
60768,22,classic_bike
37977,23,classic_bike
55202,23,electric_bike
4089,23,electric_scooter
