rides_in_thousands,start_station_name,member_casual
634.255,,member
370.784,,casual
0.466,2112 W Peterson Ave,member
0.228,2112 W Peterson Ave,casual
0.055,21st St & Pulaski Rd,member
0.081,21st St & Pulaski Rd,casual
0.834,63rd St Beach,casual
0.477,63rd St Beach,member
9.397,900 W Harrison St,member
3.597,900 W Harrison St,casual
0.001,Aberdeen St & 103rd St,member
0.002,Aberdeen St & 103rd St,casual
11.557,Aberdeen St & Jackson Blvd,member
4.539,Aberdeen St & Jackson Blvd,casual
2.536,Aberdeen St & Monroe St,casual
7.448,Aberdeen St & Monroe St,member
8.015,Aberdeen St & Randolph St,member
3.998,Aberdeen St & Randolph St,casual
0.002,Ada St & 113th Place,member
0.009,Ada St & 113th St,casual
0.003,Ada St & 113th St,member
2.394,Ada St & Washington Blvd,casual
5.493,Ada St & Washington Blvd,member
12.672,Adler Planetarium,casual
5.031,Adler Planetarium,member
0.063,Albany Ave & 16th St,casual
0.036,Albany Ave & 16th St,member
0.067,Albany Ave & 26th St,member
0.108,Albany Ave & 26th St,casual
0.347,Albany Ave & Belmont Ave,member
0.284,Albany Ave & Belmont Ave,casual
3.338,Albany Ave & Bloomingdale Ave,member
1.915,Albany Ave & Bloomingdale Ave,casual
0.032,Albany Ave & Douglas Blvd,member
0.071,Albany Ave & Douglas Blvd,casual
0.68,Albany Ave & Montrose Ave,casual
1.445,Albany Ave & Montrose Ave,member
0.001,Altgeld Gardens,member
0.033,Altgeld Gardens,casual
0.135,Archer (Damen) Ave & 37th St,casual
0.4,Archer (Damen) Ave & 37th St,member
0.021,Archer Ave & 43rd St,member
0.029,Archer Ave & 43rd St,casual
0.013,Archer Ave & 49th St,casual
0.013,Archer Ave & 49th St,member
0.032,Archer Ave & Homan Ave,casual
0.027,Archer Ave & Homan Ave,member
0.101,Artesian Ave & 55th St,member
0.11,Artesian Ave & 55th St,casual
0.042,Artesian Ave & 71st St,casual
0.028,Artesian Ave & 71st St,member
3.532,Artesian Ave & Hubbard St,member
1.3,Artesian Ave & Hubbard St,casual
0.068,Artesian Ave & Marquette Rd,casual
0.079,Artesian Ave & Marquette Rd,member
0.473,Ashland Ave & 13th St,casual
2.719,Ashland Ave & 13th St,member
0.056,Ashland Ave & 50th St,casual
0.152,Ashland Ave & 50th St,member
0.026,Ashland Ave & 63rd St,member
0.034,Ashland Ave & 63rd St,casual
0.04,Ashland Ave & 66th St,member
0.072,Ashland Ave & 66th St,casual
0.023,Ashland Ave & 74th St,member
0.026,Ashland Ave & 74th St,casual
0.027,Ashland Ave & 78th St,casual
0.018,Ashland Ave & 78th St,member
0.383,Ashland Ave & Archer Ave,casual
0.798,Ashland Ave & Archer Ave,member
1.404,Ashland Ave & Augusta Blvd,casual
5.141,Ashland Ave & Augusta Blvd,member
1.33,Ashland Ave & Belle Plaine Ave,casual
1.903,Ashland Ave & Belle Plaine Ave,member
2.455,Ashland Ave & Blackhawk St,casual
5.077,Ashland Ave & Blackhawk St,member
4.768,Ashland Ave & Chicago Ave,member
