rides_in_thousands,hour,member_casual,rideable_type
3,0,member,electric_scooter
15,0,casual,electric_scooter
12723,0,casual,classic_bike
11636,0,member,classic_bike
20121,0,member,electric_bike
20972,0,casual,electric_bike
8535,1,casual,classic_bike
12735,1,member,electric_bike
14037,1,casual,electric_bike
6739,1,member,classic_bike
9111,2,casual,electric_bike
3577,2,member,classic_bike
4890,2,casual,classic_bike
7447,2,member,electric_bike
2583,3,casual,classic_bike
5206,3,casual,electric_bike
5396,3,member,electric_bike
2197,3,member,classic_bike
4215,4,casual,electric_bike
5458,4,member,electric_bike
1925,4,casual,classic_bike
3078,4,member,classic_bike
15914,5,member,classic_bike
635,5,casual,electric_scooter
17743,5,member,electric_bike
403,5,member,electric_scooter
6760,5,casual,electric_bike
4367,5,casual,classic_bike
1310,6,member,electric_scooter
10268,6,casual,classic_bike
1344,6,casual,electric_scooter
54294,6,member,electric_bike
16413,6,casual,electric_bike
46823,6,member,classic_bike
2970,7,member,electric_scooter
2843,7,casual,electric_scooter
20110,7,casual,classic_bike
97604,7,member,electric_bike
29204,7,casual,electric_bike
96843,7,member,classic_bike
4226,8,member,electric_scooter
123757,8,member,classic_bike
30943,8,casual,classic_bike
123372,8,member,electric_bike
39310,8,casual,electric_bike
3586,8,casual,electric_scooter
35595,9,casual,classic_bike
83059,9,member,electric_bike
84946,9,member,classic_bike
3049,9,casual,electric_scooter
35820,9,casual,electric_bike
2766,9,member,electric_scooter
41413,10,casual,electric_bike
72566,10,member,electric_bike
75778,10,member,classic_bike
2968,10,casual,electric_scooter
47380,10,casual,classic_bike
2079,10,member,electric_scooter
60354,11,casual,classic_bike
52327,11,casual,electric_bike
3934,11,casual,electric_scooter
85069,11,member,electric_bike
87925,11,member,classic_bike
2615,11,member,electric_scooter
63125,12,casual,electric_bike
98544,12,member,electric_bike
70186,12,casual,classic_bike
99519,12,member,classic_bike
2909,12,member,electric_scooter
4605,12,casual,electric_scooter
72022,13,casual,classic_bike
66909,13,casual,electric_bike
98473,13,member,classic_bike
99498,13,member,electric_bike
2822,13,member,electric_scooter
4890,13,casual,electric_scooter
71003,14,casual,electric_bike
5193,14,casual,electric_scooter
96441,14,member,classic_bike
2848,14,member,electric_scooter
102015,14,member,electric_bike
73439,14,casual,classic_bike
3630,15,member,electric_scooter
6238,15,casual,electric_scooter
78015,15,casual,classic_bike
128745,15,member,electric_bike
80333,15,casual,electric_bike
114502,15,member,classic_bike
84969,16,casual,classic_bike
173523,16,member,electric_bike
7469,16,casual,electric_scooter
4949,16,member,electric_scooter
158828,16,member,classic_bike
92991,16,casual,electric_bike
7917,17,casual,electric_scooter
185820,17,member,electric_bike
92771,17,casual,classic_bike
194875,17,member,classic_bike
96985,17,casual,electric_bike
6051,17,member,electric_scooter
6897,18,casual,electric_scooter
82078,18,casual,electric_bike
79221,18,casual,classic_bike
146772,18,member,electric_bike
149106,18,member,classic_bike
5257,18,member,electric_scooter
5220,19,casual,electric_scooter
3672,19,member,electric_scooter
103882,19,member,classic_bike
61160,19,casual,electric_bike
103359,19,member,electric_bike
57375,19,casual,classic_bike
74171,20,member,electric_bike
40690,20,casual,classic_bike
3968,20,casual,electric_scooter
2589,20,member,electric_scooter
71023,20,member,classic_bike
45719,20,casual,electric_bike
39608,21,casual,electric_bike
60836,21,member,electric_bike
2118,21,member,electric_scooter
50433,21,member,classic_bike
31222,21,casual,classic_bike
3974,21,casual,electric_scooter
3791,22,casual,electric_scooter
34188,22,casual,electric_bike
27327,22,casual,classic_bike
46831,22,member,electric_bike
1742,22,member,electric_scooter
33441,22,member,classic_bike
2914,23,casual,electric_scooter
24703,23,casual,electric_bike
18109,23,casual,classic_bike
30499,23,member,electric_bike
1175,23,member,electric_scooter
19868,23,member,classic_bike
